function,ASDAR_sf,mod_line_sf,ASDAR_terra,mod_line_terra,other packages,used_by
maptools::crepuscule,,,,,solartime::,birdscanR incR
maptools::gcDestination,,,,,Deprecated,ggsn
maptools::getinfo.shape,,,,,Deprecated,SSN
maptools::getKMLcoordinates,,,,,,animaltracker
maptools::gzAzimuth,https://r-spatial.github.io/evolution/diffs/die_diff.html,63,https://r-spatial.github.io/evolution/diffs/die_terra_diff.html,66,lwgeom::st_geod_azimuth,FLightR
maptools::kmlPolygon,,,,,,red
maptools::kmlPolygons,,,,,,red
maptools::map2SpatialLines,,,,,sf::st_as_sf,MapGAM
maptools::map2SpatialPolygons,https://r-spatial.github.io/evolution/diffs/cm_diff.html,315,https://r-spatial.github.io/evolution/diffs/cm_terra_diff.html,314,sf::st_as_sf,ausplotsR rangemap
maptools::pointLabel,car::pointlabel,,car::pointlabel,,car::pointlabel,GEOexplorer
maptools::PolySet2SpatialPolygons,,,,,,RchivalTag
maptools::readAsciiGrid,,,,,Deprecated,rworldmap
maptools::readShapePoly,,,,,Deprecated,hydroTSM
maptools::readShapeSpatial,,,,,Deprecated,openadds
maptools::solarnoon,,,,,solartime::,PWFSLSmoke
maptools::solarpos,,,,,solartime::,EMbC
maptools::SpatialLines2PolySet,,,,,,MapGAM RchivalTag
maptools::SpatialLinesMidPoints,,,,,,gDefrag
maptools::SpatialPolygons2PolySet,,,,,,MapGAM
maptools::spCbind,https://r-spatial.github.io/evolution/diffs/die_diff.html,144,https://r-spatial.github.io/evolution/diffs/die_terra_diff.html,150,"sf::merge, terra::merge",eeptools
maptools::spRbind,,,,,,APfun ecospat iSDM micromapST track2KBA
maptools::sunriset,https://r-spatial.github.io/evolution/diffs/cm2_diff.html,516,https://r-spatial.github.io/evolution/diffs/cm2_terra_diff.html,489,solartime::computeSunriseHour,birdscanR FLightR PWFSLSmoke
maptools::unionSpatialPolygons,https://r-spatial.github.io/evolution/diffs/die_diff.html,477,https://r-spatial.github.io/evolution/diffs/die_terra_diff.html,491,"sf::st_union, terra::aggregate",BayesX bfsMaps disaggregation LabourMarketAreas micromap micromapST RchivalTag rmapzen stampr
maptools::writePointsShape,,,,,Deprecated,biogeo
maptools::writePolyShape,,,,,Deprecated,monographaR
maptools::writeSpatialShape,,,,,Deprecated,monographaR
rgdal::closeDataset,,,,,Deprecated,ursa
rgdal::copyDataset,,,,,"sf::st_crs, terra::crs",FIESTAutils
rgdal::CRSargs,,,,,Deprecated,geonetwork inlabru intamap micromapST plotKML rosm tripEstimation ursa
rgdal::GDAL.close,,,,,Deprecated,FIESTAutils ursa
rgdal::GDAL.open,,,,,Deprecated,FIESTAutils
rgdal::GDALcall,,,,,Deprecated,FIESTAutils ursa
rgdal::GDALinfo,,,,,Deprecated,APfun bnspatial FIESTA FIESTAutils ursa
rgdal::GDALis3ormore,,,,,Deprecated,sdmpredictors
rgdal::get_rgdal_show_exportToProj4_warnings,,,,,Deprecated,inlabru
rgdal::get_thin_PROJ6_warnings,,,,,Deprecated,inlabru
rgdal::getDescription,,,,,Deprecated,FIESTAutils
rgdal::getDriver,,,,,Deprecated,ursa
rgdal::getDriverName,,,,,Deprecated,ursa
rgdal::getGDALCheckVersion,,,,,Deprecated,geoviz
rgdal::getProjectionRef,,,,,Deprecated,FIESTAutils
rgdal::getRasterBand,,,,,Deprecated,FIESTAutils
rgdal::getRasterData,,,,,Deprecated,FIESTAutils ursa
rgdal::make_EPSG,https://r-spatial.github.io/evolution/diffs/die_diff.html,14,https://r-spatial.github.io/evolution/diffs/die_terra_diff.html,14,sf::sf_proj_search_paths,FIESTAutils
