"function.","used_by"
"maptools::crepuscule","birdscanR"
"maptools::gcDestination","ggsn"
"maptools::getinfo.shape","SSN"
"maptools::getKMLcoordinates","animaltracker"
"maptools::gzAzimuth","FLightR"
"maptools::kmlPolygon","red"
"maptools::kmlPolygons","red"
"maptools::map2SpatialLines","MapGAM"
"maptools::map2SpatialPolygons","ausplotsR"
"maptools::pointLabel","GEOexplorer"
"maptools::PolySet2SpatialPolygons","RchivalTag"
"maptools::readAsciiGrid","rworldmap"
"maptools::readShapePoly","hydroTSM"
"maptools::solarnoon","PWFSLSmoke"
"maptools::solarpos","EMbC"
"maptools::SpatialLines2PolySet","MapGAM RchivalTag"
"maptools::SpatialLinesMidPoints","gDefrag"
"maptools::SpatialPolygons2PolySet","MapGAM"
"maptools::spCbind","eeptools"
"maptools::spRbind","APfun ecospat iSDM micromapST track2KBA"
"maptools::sunriset","birdscanR FLightR PWFSLSmoke"
"maptools::unionSpatialPolygons","BayesX bfsMaps disaggregation LabourMarketAreas micromapST RchivalTag rmapzen"
"maptools::writePointsShape","biogeo"
"maptools::writePolyShape","monographaR"
"maptools::writeSpatialShape","monographaR"
"rgdal::closeDataset","ursa"
"rgdal::copyDataset","FIESTAutils"
"rgdal::CRSargs","inlabru micromapST plotKML rosm ursa"
"rgdal::GDAL.close","FIESTAutils ursa"
"rgdal::GDAL.open","FIESTAutils"
"rgdal::GDALcall","FIESTAutils ursa"
"rgdal::GDALinfo","APfun bnspatial FIESTA FIESTAutils ursa"
"rgdal::GDALis3ormore","sdmpredictors"
"rgdal::get_rgdal_show_exportToProj4_warnings","inlabru"
"rgdal::get_thin_PROJ6_warnings","inlabru"
"rgdal::getDescription","FIESTAutils"
"rgdal::getDriver","ursa"
"rgdal::getDriverName","ursa"
"rgdal::getGDALCheckVersion","geoviz"
"rgdal::getProjectionRef","FIESTAutils"
"rgdal::getRasterBand","FIESTAutils"
"rgdal::getRasterData","FIESTAutils ursa"
"rgdal::new_proj_and_gdal","inlabru micromapST"
"rgdal::ogrInfo","bnspatial ursa"
"rgdal::ogrListLayers","eechidna mapReasy rmapzen ursa"
