animalEKF, rgeos::gContains rgeos::gIntersection rgeos::gIsEmpty
iconr, rgdal::readOGR
DRHotNet, maptools::as.SpatialLines.psp maptools::PolySet2SpatialPolygons maptools::SpatialLines2PolySet
micromap, maptools::unionSpatialPolygons
rgbif, rgeos::readWKT
HDSpatialScan, rgeos::gUnaryUnion
maptools, rgeos::createPolygonsComment rgeos::gContains rgeos::gContainsProperly rgeos::gDistance rgeos::gEquals rgeos::gIntersection rgeos::gIsValid rgeos::gSimplify rgeos::gUnarySTRtreeQuery rgeos::gUnaryUnion rgeos::gUnionCascaded rgeos::version_GEOS0
leastcostpath, rgeos::gArea rgeos::gBoundary rgeos::gBuffer rgeos::gDifference rgeos::gIntersection rgeos::gIsValid rgeos::gLength rgeos::gNode rgeos::gPolygonize rgeos::gUnaryUnion
MapGAM, maptools::map2SpatialLines maptools::SpatialLines2PolySet maptools::SpatialPolygons2PolySet
postGIStools, rgdal::showEPSG rgeos::readWKT rgeos::writeWKT
track2KBA, maptools::spRbind
kernelPhil, rgdal::project
Momocs, rgeos::gIntersection
OasisR, rgdal::readOGR rgeos::gCentroid rgeos::gDistance rgeos::gIntersection rgeos::gLength
sen2r, rgdal::GDALinfo
recurse, rgeos::gIntersection rgeos::gLength
foster, rgdal::writeOGR
rmapzen, maptools::unionSpatialPolygons rgdal::ogrListLayers rgdal::readOGR
SubgrPlots, rgeos::gIntersection rgeos::plot
RSIP, rgdal::readOGR
HurreconR, rgdal::readOGR rgdal::setCPLConfigOption
adehabitatHR, rgeos::gUnionCascaded
intamap, rgdal::CRSargs rgdal::readOGR
micromapST, maptools::spRbind maptools::unionSpatialPolygons rgdal::CRSargs rgdal::new_proj_and_gdal rgdal::readOGR rgdal::rgdal_extSoftVersion rgdal::set_P6_datum_hard_fail rgdal::set_rgdal_show_exportToProj4_warnings rgdal::set_thin_PROJ6_warnings rgdal::writeOGR rgeos::gBuffer rgeos::gCentroid rgeos::gDifference
osmplotr, rgeos::gIntersection
Rsagacmd, rgdal::writeOGR
RSAGA, rgdal::readOGR rgdal::writeOGR
rpostgis, rgdal::showEPSG rgdal::showWKT rgeos::readWKT rgeos::writeWKT
naijR, rgdal::readOGR
MetaLandSim, maptools::readShapePoly rgeos::gCentroid
usmap, maptools::elide
rioja, maptools::pointLabel
SurfaceTortoise, rgeos::gCentroid rgeos::gDifference rgeos::gIntersection
malariaAtlas, rgdal::readOGR
ipumsr, rgdal::readOGR
red, maptools::kmlPolygon maptools::kmlPolygons rgdal::project rgeos::gIntersection rgeos::gSimplify
spatsoc, rgeos::gArea rgeos::gBuffer rgeos::gIntersection rgeos::gIntersects
hyperbrick, rgdal::project
geonetwork, rgdal::CRSargs
FIESTAutils, rgdal::copyDataset rgdal::GDAL.close rgdal::GDAL.open rgdal::GDALcall rgdal::GDALinfo rgdal::getDescription rgdal::getProjectionRef rgdal::getRasterBand rgdal::getRasterData rgdal::make_EPSG rgdal::project rgdal::projInfo rgdal::putRasterData rgdal::readOGR rgdal::saveDataset
APfun, maptools::spRbind rgdal::GDALinfo rgdal::readOGR rgdal::writeOGR
changeRangeR, rgeos::gBuffer rgeos::gIntersection
ParallelDSM, rgdal::writeGDAL
ipdw, rgeos::gConvexHull
hero, rgeos::gBuffer
geotopbricks, rgdal::showWKT
disdat, rgdal::readOGR
mapmisc, rgdal::rawTransform rgdal::readOGR rgeos::gBuffer rgeos::gConvexHull rgeos::gDifference rgeos::gInterpolate rgeos::gIntersection rgeos::gSimplify
lingtypology, rgeos::gBuffer rgeos::gIntersects rgeos::gUnaryUnion
spatsurv, rgeos::gBuffer
bfsMaps, maptools::unionSpatialPolygons rgdal::readOGR rgeos::gLength rgeos::readWKT
FRK, rgeos::gBuffer rgeos::gDifference rgeos::gIntersection
itcSegment, rgeos::gArea rgeos::gBuffer rgeos::gConvexHull
ENMTools, rgeos::gUnaryUnion
SpatialGraph, rgeos::gDistance rgeos::gIntersection rgeos::gWithinDistance
rcage, rgeos::gArea rgeos::gCentroid rgeos::gContains rgeos::gConvexHull rgeos::gCovers rgeos::gIntersects rgeos::gTouches
GmAMisc, maptools::as.owin.SpatialPolygons rgdal::writeOGR rgeos::gArea rgeos::gBuffer rgeos::gContains rgeos::gConvexHull rgeos::gDistance
intSDM, maptools::map2SpatialPolygons
rgdal, rgeos::createSPComment
dssd, rgdal::writeOGR
eechidna, rgdal::ogrListLayers rgdal::readOGR rgeos::gArea rgeos::gContains rgeos::gIntersection rgeos::gIntersects rgeos::gSimplify
ggvoronoi, rgeos::gBuffer rgeos::intersect
hyfo, rgdal::readOGR
BARIS, rgdal::readOGR
eixport, rgdal::project
BayesX, maptools::unionSpatialPolygons
hypervolume, rgeos::gBuffer
lgcp, rgeos::gDisjoint rgeos::gIntersection rgeos::gIntersects rgeos::gTouches rgeos::gUnaryUnion
disaggregation, maptools::unionSpatialPolygons
fieldRS, rgeos::gDistance
leaflet, rgeos::createPolygonsComment
gfcanalysis, rgeos::gCentroid rgeos::gConvexHull rgeos::gIntersects rgeos::gTouches
BiodiversityR, rgeos::gBuffer
ASIP, rgdal::readOGR
agriwater, rgdal::readOGR
SpNetPrep, maptools::as.linnet.SpatialLines
mregions, rgeos::writeWKT
sperich, rgdal::writeGDAL
rdwd, rgdal::readGDAL
Watersheds, rgeos::gBoundary rgeos::gBuffer rgeos::gCentroid rgeos::gCrosses rgeos::gDistance rgeos::gIntersects
redlistr, rgeos::gArea
actel, rgdal::readOGR
LabourMarketAreas, maptools::unionSpatialPolygons rgdal::readOGR rgdal::writeOGR rgeos::gArea rgeos::gIntersection
ggsn, maptools::gcDestination
birdring, rgeos::gDifference rgeos::gIntersection rgeos::gIntersects rgeos::gUnionCascaded
phyloregion, rgeos::gBuffer
FIESTA, rgdal::GDALinfo
RchivalTag, maptools::PolySet2SpatialPolygons maptools::SpatialLines2PolySet maptools::unionSpatialPolygons
rnaturalearth, rgdal::readOGR
ecospat, maptools::spRbind
DivE, rgeos::gIntersection
plotKML, maptools::readShapePoly maptools::writeLinesShape maptools::writePointsShape maptools::writePolyShape rgdal::CRSargs rgdal::readGDAL rgdal::readOGR rgdal::writeGDAL rgdal::writeOGR
quickPlot, rgeos::gArea rgeos::gIntersects
MBNMAtime, rgeos::gArea rgeos::readWKT
chronosphere, rgdal::readOGR rgdal::writeOGR
rworldmap, maptools::readAsciiGrid
hierarchicalDS, rgeos::gCentroid
occTest, rgdal::readOGR rgdal::writeOGR rgeos::createPolygonsComment rgeos::gContains rgeos::gContainsProperly rgeos::gEquals rgeos::gIntersects rgeos::gUnarySTRtreeQuery
stampr, maptools::unionSpatialPolygons rgeos::gArea rgeos::gBuffer rgeos::gCentroid rgeos::gConvexHull rgeos::gDifference rgeos::gDistance rgeos::gEnvelope rgeos::gIntersection rgeos::gIntersects rgeos::gLength rgeos::gSimplify rgeos::gUnaryUnion
bivariatemaps, rgeos::gArea
ggOceanMaps, rgeos::createSPComment rgeos::gDistance rgeos::gIntersection rgeos::gIsValid rgeos::gSimplify
cartograflow, rgeos::gIntersects
shadow, maptools::solarpos rgeos::gBuffer rgeos::gCentroid rgeos::gConvexHull rgeos::gDistance rgeos::gIntersection rgeos::gIntersects rgeos::gLength rgeos::gLineMerge rgeos::gUnaryUnion rgeos::gUnion
spatialfusion, rgeos::gIntersection rgeos::gUnion
uavRmp, maptools::spRbind maptools::writeLinesShape rgdal::writeOGR rgeos::gArea rgeos::gBuffer rgeos::gUnaryUnion
ctmm, rgdal::project rgdal::writeOGR
nhdR, rgdal::ogrInfo rgdal::ogrListLayers
sp, rgdal::checkCRSArgs rgdal::checkCRSArgs_ng rgdal::new_proj_and_gdal rgdal::OSRIsProjected rgeos::createPolygonsComment rgeos::gIntersection rgeos::gLineMerge rgeos::gUnaryUnion rgeos::overGeomGeom rgeos::overGeomGeomDF
movecost, rgdal::writeOGR rgeos::gArea rgeos::gLength
TUFLOWR, rgdal::readOGR
ref.ICAR, rgdal::readOGR
elevatr, rgdal::getPROJ4VersionInfo
rayshader, maptools::pointLabel
ausplotsR, maptools::map2SpatialPolygons
streamDepletr, rgeos::gLength
grainscape, rgdal::writeOGR
monographaR, maptools::writePolyShape maptools::writeSpatialShape
cleangeo, rgeos::gBuffer rgeos::gCrosses rgeos::gDifference rgeos::getScale rgeos::gIntersection rgeos::gIsValid rgeos::gUnionCascaded
R2BayesX, maptools::gpclibPermit maptools::unionSpatialPolygons
dsims, rgeos::gIntersects
crestr, rgdal::projInfo rgeos::readWKT
tigris, rgdal::readOGR
sharpshootR, rgeos::gBuffer rgeos::writeWKT
rdhs, rgdal::readOGR
EMbC, maptools::solarpos
letsR, rgdal::readOGR rgeos::gArea rgeos::gCentroid rgeos::gContains rgeos::gOverlaps
bamlss, maptools::gpclibPermit maptools::readShapePoly maptools::unionSpatialPolygons
iSDM, maptools::spRbind rgdal::writeOGR
mapsRinteractive, rgeos::gIntersection
sdmpredictors, rgdal::GDALis3ormore
CoordinateCleaner, rgeos::gBuffer
oceanic, rgeos::gSimplify
hypergate, rgeos::gCentroid rgeos::gNode rgeos::gPolygonize rgeos::gUnaryUnion
rcanvec, rgdal::readOGR rgdal::writeOGR
openadds, maptools::readShapeSpatial
bRacatus, rgeos::gBuffer rgeos::gIntersection
ForestTools, rgeos::gArea rgeos::gCentroid rgeos::gUnaryUnion
AQuadtree, rgdal::writeOGR rgeos::gIntersection
SSN, maptools::getinfo.shape rgdal::readOGR rgdal::writeOGR
envirem, rgdal::project
animint2, maptools::unionSpatialPolygons
envi, rgeos::gBuffer
TOC, rgdal::CRSargs
SegEnvIneq, rgdal::readOGR rgeos::gCentroid rgeos::gDistance
openSTARS, rgdal::readGDAL rgdal::readOGR rgdal::writeOGR
paleofire, rgdal::project rgdal::writeOGR
