package,functions
agriwater,rgdal::readOGR
amt,rgeos::gBuffer rgeos::gContainsProperly rgeos::gConvexHull rgeos::gIntersects rgeos::gUnaryUnion
animalEKF,rgeos::gContains rgeos::gIntersection rgeos::gIsEmpty
animaltracker,maptools::getKMLcoordinates rgdal::writeOGR
antaresViz,rgeos::gDistance
APfun,maptools::spRbind rgdal::GDALinfo rgdal::readOGR rgdal::writeOGR
ASIP,rgdal::readOGR
atakrig,rgeos::gCentroid
ausplotsR,maptools::map2SpatialPolygons
BARIS,rgdal::readOGR
BayesX,maptools::unionSpatialPolygons
bdvis,rgdal::readOGR
bfsMaps,maptools::unionSpatialPolygons rgdal::readOGR rgeos::gLength rgeos::readWKT
biogeo,maptools::writePointsShape
biosurvey,rgdal::readOGR rgeos::gBuffer rgeos::gCentroid
birdring,rgeos::gDifference rgeos::gIntersection rgeos::gIntersects rgeos::gUnionCascaded
bivariatemaps,rgeos::gArea
bnspatial,rgdal::GDALinfo rgdal::ogrInfo
bRacatus,rgeos::gBuffer rgeos::gIntersection
briskaR,rgdal::readOGR rgeos::gBuffer rgeos::gDifference rgeos::gUnionCascaded
cartograflow,rgeos::gIntersects
changeRangeR,rgeos::gBuffer rgeos::gIntersection
cleangeo,rgeos::gBuffer rgeos::gCrosses rgeos::gDifference rgeos::getScale rgeos::gIntersection rgeos::gIsValid rgeos::gUnionCascaded
ConR,rgdal::project rgdal::rgdal_extSoftVersion rgdal::writeOGR rgeos::gBuffer rgeos::readWKT
CoordinateCleaner,rgeos::gBuffer
cropDemand,rgdal::readOGR
cropZoning,rgdal::readOGR
ctmm,rgdal::project rgdal::writeOGR
disaggregation,maptools::unionSpatialPolygons
DivE,rgeos::gIntersection
DRHotNet,maptools::PolySet2SpatialPolygons maptools::SpatialLines2PolySet
ecospat,maptools::spRbind
eechidna,rgdal::ogrListLayers rgdal::readOGR rgeos::gArea rgeos::gContains rgeos::gIntersection rgeos::gIntersects rgeos::gSimplify
eeptools,maptools::spCbind
eixport,rgdal::project
EMbC,maptools::solarpos
eseis,rgdal::project
ExposR,rgdal::readOGR rgdal::setCPLConfigOption
expp,rgeos::gBuffer rgeos::gIntersection rgeos::gTouches rgeos::gUnionCascaded rgeos::readWKT
fieldRS,rgeos::gDistance
FIESTA,rgdal::GDALinfo
FIESTAutils,rgdal::copyDataset rgdal::GDAL.close rgdal::GDAL.open rgdal::GDALcall rgdal::GDALinfo rgdal::getDescription rgdal::getProjectionRef rgdal::getRasterBand rgdal::getRasterData rgdal::make_EPSG rgdal::project rgdal::projInfo rgdal::putRasterData rgdal::readOGR rgdal::saveDataset
FLightR,maptools::gzAzimuth maptools::sunriset rgeos::gBuffer rgeos::gDistance rgeos::gSimplify rgeos::gUnion rgeos::gWithinDistance
ForestTools,rgeos::gArea rgeos::gCentroid rgeos::gUnaryUnion
foster,rgdal::writeOGR
gDefrag,maptools::SpatialLinesMidPoints rgdal::writeOGR rgeos::gArea rgeos::gDifference rgeos::gDistance rgeos::gIntersection rgeos::gLineMerge rgeos::gPointOnSurface rgeos::gTouches rgeos::gUnaryUnion rgeos::gUnion
geogrid,rgeos::gCentroid
geonetwork,rgdal::CRSargs
geotopbricks,rgdal::showWKT
geoviz,rgdal::getGDALCheckVersion rgeos::gBuffer
gfcanalysis,rgeos::gCentroid rgeos::gConvexHull rgeos::gIntersects rgeos::gTouches
ggOceanMaps,rgeos::createSPComment rgeos::gDistance rgeos::gIntersection rgeos::gIsValid rgeos::gSimplify
ggsn,maptools::gcDestination
ggvoronoi,rgeos::gBuffer rgeos::intersect
GPSeqClus,rgdal::writeOGR
grainscape,rgdal::writeOGR
HCV,rgeos::gTouches
HDSpatialScan,rgeos::gUnaryUnion
hero,rgeos::gBuffer
hierarchicalDS,rgeos::gCentroid
HurreconR,rgdal::readOGR rgdal::setCPLConfigOption
hydroTSM,maptools::readShapePoly
hyfo,rgdal::readOGR
hyperbrick,rgdal::project
hypervolume,rgeos::gBuffer
iconr,rgdal::readOGR
importinegi,rgdal::readOGR
