package,function
abmR,sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
adegraphics,sp::GridTopology sp::Polygon sp::Polygons sp::sp.grid sp::sp.lines sp::sp.points sp::sp.polygons sp::SpatialGrid sp::SpatialPolygons
adehabitatHR,sp::as.image.SpatialGridDataFrame sp::CRS sp::gridparameters sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
adehabitatHS,sp::CRS sp::gridparameters
adehabitatLT,sp::CRS sp::gridparameters sp::identicalCRS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPointsDataFrame
adehabitatMA,sp::as.image.SpatialGridDataFrame sp::CRS sp::getPolygonCoordsSlot sp::getPolygonHoleSlot sp::getPolygonsIDSlot sp::getPolygonsPolygonsSlot sp::getSpPpolygonsSlot sp::gridparameters sp::image2Grid sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
AFM,sp::CRS sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::spDistsN1
AGPRIS,sp::coordinates sp::CRS sp::proj4string sp::SpatialPoints sp::spTransform
AHMbook,sp::bubble sp::coordinates
aire.zmvm,sp::spDists
angstroms,sp::CRS sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
animalEKF,rgeos::gContains rgeos::gIntersection rgeos::gIsEmpty sp::coordinates sp::Line sp::Lines sp::over sp::plot sp::point.in.polygon sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::spsample
animaltracker,maptools::getKMLcoordinates rgdal::writeOGR sp::coordinates sp::CRS sp::over sp::Polygon sp::Polygons sp::SpatialPointsDataFrame sp::SpatialPolygons
anipaths,sp::CRS
antaresViz,rgeos::gDistance sp::coordinates sp::CRS sp::over sp::SpatialPoints sp::spChFIDs sp::spTransform
APfun,maptools::spRbind rgdal::GDALinfo rgdal::readOGR rgdal::writeOGR sp::spChFIDs
aqp,sp::coordinates sp::CRS sp::SpatialPoints sp::SpatialPointsDataFrame
AquaBEHER,sp::coordinates sp::CRS sp::proj4string
AQuadtree,sp::as.SpatialPolygons.GridTopology sp::GridTopology sp::identicalCRS sp::merge sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
archiDART,sp::Polygon
ASGS.foyer,sp::coordinates sp::over sp::SpatialPoints
ASIP,rgdal::readOGR
