"Group.1","yyy"
"animaltracker","maptools::getKMLcoordinates rgdal::writeOGR"
"ASIP","rgdal::readOGR"
"bdvis","rgdal::readOGR"
"biogeo","maptools::writePointsShape"
"bivariatemaps","rgeos::gArea"
"bRacatus","rgeos::gBuffer rgeos::gIntersection"
"cartograflow","rgeos::gIntersects"
"changeRangeR","rgeos::gBuffer rgeos::gIntersection"
"ConR","rgdal::project rgdal::rgdal_extSoftVersion rgdal::writeOGR rgeos::gBuffer rgeos::readWKT"
"cropDemand","rgdal::readOGR"
"DivE","rgeos::gIntersection"
"ecospat","maptools::spRbind"
"eechidna","rgdal::ogrListLayers rgdal::readOGR rgeos::gArea rgeos::gContains rgeos::gIntersection rgeos::gIntersects rgeos::gSimplify"
"flowDensity","rgeos::gBuffer rgeos::gDifference rgeos::gIntersects"
"gDefrag","maptools::SpatialLinesMidPoints rgdal::writeOGR rgeos::gArea rgeos::gDifference rgeos::gDistance rgeos::gIntersection rgeos::gLineMerge rgeos::gPointOnSurface rgeos::gTouches rgeos::gUnaryUnion rgeos::gUnion"
"GEOexplorer","maptools::pointLabel"
"ggsn","maptools::gcDestination"
"ggvoronoi","rgeos::gBuffer rgeos::intersect"
"HCV","rgeos::gTouches"
"hydroTSM","maptools::readShapePoly"
"hyperbrick","rgdal::project"
"iconr","rgdal::readOGR"
"iSDM","maptools::spRbind rgdal::writeOGR"
"kernelPhil","rgdal::project"
"mapReasy","rgdal::ogrListLayers rgdal::readOGR"
"Momocs","rgeos::gIntersection"
"monographaR","maptools::writePolyShape maptools::writeSpatialShape"
"muHVT","rgeos::intersect"
"openSTARS","rgdal::readGDAL rgdal::readOGR rgdal::writeOGR"
"ParallelDSM","rgdal::writeGDAL"
"plotKML","rgdal::CRSargs rgdal::readGDAL rgdal::readOGR rgdal::writeGDAL rgdal::writeOGR"
"psda","rgeos::gArea rgeos::gIntersection"
"PWFSLSmoke","maptools::solarnoon maptools::sunriset rgdal::writeOGR"
"quickmapr","rgdal::showWKT rgeos::gArea rgeos::gDistance rgeos::gLength rgeos::gWithin rgeos::gWithinDistance"
"RSIP","rgdal::readOGR"
"rworldmap","maptools::readAsciiGrid"
"spatialfusion","rgeos::gIntersection rgeos::gUnion"
"SSN","maptools::getinfo.shape rgdal::readOGR rgdal::writeOGR"
"Watersheds","rgeos::gBoundary rgeos::gBuffer rgeos::gCentroid rgeos::gCrosses rgeos::gDistance rgeos::gIntersects"
