"date","watchlist_length","unavailable"
"2023-06-14",222,0
"2023-06-16",213,0
"2023-06-19",213,0
"2023-06-21",210,1
"2023-06-23",210,1
"2023-06-26",208,2
"2023-06-28",208,2
"2023-06-30",207,2
"2023-07-03",206,2
"2023-07-05",202,1
"2023-07-07",199,2
"2023-07-10",196,10
"2023-07-12",195,10
"2023-07-14",195,11
"2023-07-17",193,11
"2023-07-19",191,11
"2023-07-21",189,11
"2023-07-24",189,11
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"2023-08-03",188,11
"2023-08-04",188,11
"2023-08-07",188,11
"2023-08-09",181,12
"2023-08-11",175,12
"2023-08-14",175,12
"2023-08-16",173,12
"2023-08-18",172,12
"2023-08-21",169,13
"2023-08-23",168,13
"2023-08-25",167,13
"2023-08-28",166,15
"2023-08-30",163,15
"2023-09-01",160,15
"2023-09-04",160,17
"2023-09-06",160,17
"2023-09-08",158,17
"2023-09-11",157,18
"2023-09-13",154,17
"2023-09-15",152,15
"2023-09-20",147,16
"2023-09-22",147,16
"2023-09-25",143,15
"2023-09-27",141,15
"2023-09-29",137,17
"2023-09-30",137,17
"2023-10-01",137,17
"2023-10-02",137,17
"2023-10-03",135,17
"2023-10-04",131,17
"2023-10-05",130,17
"2023-10-06",129,17
"2023-10-07",128,18
"2023-10-08",126,18
"2023-10-09",126,18
"2023-10-10",124,18
"2023-10-11",120,18
"2023-10-12",117,19
"2023-10-13",109,19
"2023-10-14",105,19
"2023-10-15",102,19
"2023-10-16",101,19
"2023-10-17",96,82
"2023-10-18",94,80
"2023-10-19",94,81
"2023-10-20",92,79
"2023-10-21",90,77
"2023-10-22",90,77
"2023-10-23",90,77
"2023-10-24",90,77
"2023-10-25",90,77
"2023-10-26",90,77
